epoch;accuracy;iou_coef;loss;val_accuracy;val_iou_coef;val_loss
41;0.9585413;0.8196717;0.041634990766437514;0.88344675;0.6437428;0.2764253900696834
42;0.9597085;0.8220104;0.040975054376758635;0.88336307;0.6480049;0.2775368196889758
43;0.95874065;0.82034945;0.04154917176088525;0.87989324;0.63826555;0.2361526140011847
44;0.9592585;0.821996;0.040988067884205115;0.88204473;0.6406533;0.3514972177644571
45;0.96005243;0.8239779;0.0401378798039837;0.8845263;0.6419994;0.31120834884544213
46;0.9600442;0.82440305;0.040143015432275005;0.8804451;0.634915;0.2752777226890127
47;0.96132433;0.8284083;0.03885082753582133;0.88177645;0.6435802;0.2926390987820923
48;0.96174335;0.8295919;0.03878625199302203;0.8818265;0.6471986;0.306703978870064
49;0.9616113;0.83086354;0.03828722067798177;0.8825966;0.63996506;0.3101690282424291
50;0.9618309;0.83162814;0.03841756993594269;0.8817673;0.6426798;0.33682275221993524
